employee_id,first_name,last_name,age,gender,department_id,department_name,role,salary,hire_date,email
1001,Robert,Gonzalez,60,Male,104,Sales,Sales Executive,88526.44,2023-08-08,robert.gonzalez@insurecorp.com
1002,Richard,Johnson,25,Male,104,Sales,Claims Adjuster,117068.78,2020-03-26,richard.johnson@insurecorp.com
1003,James,Wilson,57,Female,101,Claims,Sales Executive,47230.3,2018-10-31,james.wilson@insurecorp.com
1004,Richard,Anderson,57,Male,103,Customer Service,Risk Assessor,71100.26,2019-01-08,richard.anderson@insurecorp.com
1005,Charles,Taylor,40,Female,102,Underwriting,Finance Officer,79386.26,2018-07-10,charles.taylor@insurecorp.com
1006,Linda,Johnson,52,Male,105,IT & Systems,HR Manager,50657.26,2019-07-09,linda.johnson@insurecorp.com
1007,Michael,Martinez,41,Male,104,Sales,IT Analyst,112089.45,2019-02-09,michael.martinez@insurecorp.com
1008,Thomas,Johnson,34,Female,103,Customer Service,Finance Officer,68564.75,2017-04-28,thomas.johnson@insurecorp.com
1009,James,Smith,57,Male,106,Finance,IT Analyst,83528.31,2024-02-19,james.smith@insurecorp.com
1010,Richard,Jones,58,Male,104,Sales,Customer Service Rep,97437.54,2024-06-30,richard.jones@insurecorp.com
1011,Barbara,Jackson,25,Male,104,Sales,Business Analyst,45710.39,2015-01-31,barbara.jackson@insurecorp.com
1012,John,Martinez,57,Female,107,HR & Admin,Finance Officer,79126.89,2020-04-26,john.martinez@insurecorp.com
1013,Thomas,Martinez,36,Male,102,Underwriting,HR Manager,53931.21,2018-01-06,thomas.martinez@insurecorp.com
1014,William,Martin,31,Female,102,Underwriting,Finance Officer,66978.84,2016-11-09,william.martin@insurecorp.com
1015,Michael,Jones,27,Male,104,Sales,Underwriter,43909.68,2018-06-26,michael.jones@insurecorp.com
1016,William,Anderson,60,Male,106,Finance,Customer Service Rep,98755.16,2023-01-30,william.anderson@insurecorp.com
1017,David,Jackson,40,Male,106,Finance,IT Analyst,118294.34,2021-09-05,david.jackson@insurecorp.com
1018,John,Johnson,55,Female,102,Underwriting,Risk Assessor,82319.66,2019-01-20,john.johnson@insurecorp.com
1019,James,Jackson,53,Female,107,HR & Admin,Business Analyst,82220.34,2018-10-04,james.jackson@insurecorp.com
1020,Patricia,Gonzalez,42,Female,102,Underwriting,HR Manager,41531.84,2020-12-23,patricia.gonzalez@insurecorp.com
1021,Barbara,Brown,30,Male,106,Finance,Data Analyst,76604.88,2016-10-10,barbara.brown@insurecorp.com
1022,Linda,Miller,53,Female,106,Finance,Finance Officer,113671.42,2019-04-04,linda.miller@insurecorp.com
1023,Susan,Jackson,44,Female,106,Finance,Business Analyst,109022.84,2023-02-27,susan.jackson@insurecorp.com
1024,Thomas,Brown,57,Female,104,Sales,Insurance Agent,37032.23,2018-06-17,thomas.brown@insurecorp.com
1025,John,Taylor,43,Female,103,Customer Service,IT Analyst,104649.77,2023-03-18,john.taylor@insurecorp.com
1026,Sarah,Jackson,54,Female,103,Customer Service,Insurance Agent,95394.15,2017-06-15,sarah.jackson@insurecorp.com
1027,Elizabeth,Garcia,52,Male,101,Claims,Finance Officer,39340.27,2024-08-05,elizabeth.garcia@insurecorp.com
1028,Charles,Thomas,51,Female,107,HR & Admin,Insurance Agent,102929.3,2018-09-20,charles.thomas@insurecorp.com
1029,John,Williams,33,Female,101,Claims,Customer Service Rep,107578.52,2018-10-28,john.williams@insurecorp.com
1030,Joseph,Jackson,28,Female,101,Claims,Business Analyst,77834.53,2019-02-10,joseph.jackson@insurecorp.com
1031,Robert,Jones,33,Male,104,Sales,Data Analyst,40111.05,2018-11-23,robert.jones@insurecorp.com
1032,Joseph,Martin,60,Male,104,Sales,Sales Executive,52915.16,2017-01-23,joseph.martin@insurecorp.com
1033,William,Johnson,45,Male,104,Sales,Data Analyst,85159.69,2020-06-27,william.johnson@insurecorp.com
1034,John,Martinez,28,Female,103,Customer Service,Customer Service Rep,71782.62,2021-12-05,john.martinez@insurecorp.com
1035,Thomas,Johnson,52,Female,105,IT & Systems,Sales Executive,84562.84,2015-07-12,thomas.johnson@insurecorp.com
1036,Charles,Taylor,45,Male,101,Claims,Data Analyst,42726.74,2019-07-20,charles.taylor@insurecorp.com
1037,James,Williams,56,Female,104,Sales,Finance Officer,56260.11,2016-08-09,james.williams@insurecorp.com
1038,William,Smith,49,Male,105,IT & Systems,Finance Officer,76396.49,2018-03-22,william.smith@insurecorp.com
1039,Jennifer,Wilson,60,Female,106,Finance,Claims Adjuster,44826.21,2019-06-28,jennifer.wilson@insurecorp.com
1040,Jessica,Martin,38,Female,103,Customer Service,Insurance Agent,57282.46,2020-04-07,jessica.martin@insurecorp.com
1041,John,Hernandez,36,Male,104,Sales,Claims Adjuster,49594.25,2016-08-28,john.hernandez@insurecorp.com
1042,Elizabeth,Taylor,58,Male,105,IT & Systems,Insurance Agent,54982.88,2021-01-18,elizabeth.taylor@insurecorp.com
1043,Jessica,Hernandez,39,Female,102,Underwriting,Data Analyst,70831.65,2020-06-17,jessica.hernandez@insurecorp.com
1044,Susan,Williams,41,Male,103,Customer Service,Underwriter,112665.7,2018-01-28,susan.williams@insurecorp.com
1045,Patricia,Miller,60,Male,102,Underwriting,Customer Service Rep,109098.08,2020-11-24,patricia.miller@insurecorp.com
1046,Linda,Gonzalez,43,Female,103,Customer Service,Business Analyst,115977.87,2019-09-05,linda.gonzalez@insurecorp.com
1047,Charles,Thomas,57,Male,103,Customer Service,HR Manager,71155.97,2023-10-05,charles.thomas@insurecorp.com
1048,Jennifer,Gonzalez,58,Female,104,Sales,IT Analyst,113704.34,2018-01-03,jennifer.gonzalez@insurecorp.com
1049,Joseph,Taylor,40,Male,104,Sales,Risk Assessor,41250.2,2016-12-14,joseph.taylor@insurecorp.com
1050,Karen,Miller,51,Female,102,Underwriting,Business Analyst,45137.11,2023-09-25,karen.miller@insurecorp.com
